Temperature,RH,Ws,Rain,FWI
29,57,18,0.0,0.5
29,61,13,1.3,0.4
26,82,22,13.1,0.1
25,89,13,2.5,0.0
27,77,16,0.0,0.5
31,67,14,0.0,2.5
33,54,13,0.0,7.2
30,73,15,0.0,7.1
25,88,13,0.2,0.3
28,79,12,0.0,0.9
31,65,14,0.0,5.6
26,81,19,0.0,7.1
27,84,21,1.2,0.2
30,78,20,0.5,0.4
28,80,17,3.1,0.1
29,89,13,0.7,0.0
30,89,16,0.6,0.0
31,78,14,0.3,0.2
31,55,16,0.1,1.4
30,80,16,0.4,0.4
30,78,14,0.0,2.2
31,67,17,0.1,2.3
32,62,18,0.1,3.8
32,66,17,0.0,7.5
31,64,15,0.0,8.4
31,64,18,0.0,10.6
34,53,18,0.0,15.0
32,55,14,0.0,13.9
32,47,13,0.3,3.9
33,50,14,0.0,12.9
29,68,19,1.0,0.4
27,75,19,1.2,0.3
32,76,20,0.7,0.5
33,78,17,0.0,1.7
33,66,14,0.0,4.9
32,63,14,0.0,6.8
35,64,18,0.2,3.2
33,68,19,0.0,8.0
32,68,14,1.4,0.6
33,69,13,0.7,0.5
33,76,14,0.0,2.2
31,75,13,0.1,0.9
34,81,15,0.0,3.4
34,61,13,0.6,0.8
30,80,19,0.4,0.5
28,76,21,0.0,0.4
29,70,14,0.0,3.6
31,68,14,0.0,6.0
35,59,17,0.0,10.9
33,65,15,0.1,4.0
33,70,17,0.0,8.8
28,79,18,0.1,2.8
27,66,22,0.4,2.1
28,78,16,0.1,1.3
31,65,18,0.0,7.3
36,53,19,0.0,15.3
36,48,13,0.0,15.3
33,76,15,0.0,11.3
32,73,15,0.0,11.9
31,79,15,0.0,10.7
35,64,17,0.0,15.7
36,45,14,0.0,0.9
35,55,12,0.4,0.8
35,63,14,0.3,0.8
34,69,13,0.0,3.9
34,65,13,0.0,6.1
32,75,14,0.0,6.8
32,69,16,0.0,8.0
32,60,18,0.3,2.6
35,59,17,0.0,9.9
35,55,14,0.0,11.6
35,63,13,0.0,12.1
35,51,13,0.3,4.2
35,63,15,0.0,10.2
33,66,14,0.0,10.6
36,55,13,0.3,6.3
36,61,18,0.3,4.2
37,52,18,0.0,14.6
36,54,18,0.0,16.1
35,62,19,0.0,17.2
35,68,19,0.0,16.8
36,58,19,0.0,18.4
36,55,18,0.0,20.4
36,53,16,0.0,22.3
34,64,14,0.0,20.9
35,60,15,0.0,20.3
31,78,18,0.0,13.7
33,82,21,0.0,13.2
34,64,16,0.0,19.9
35,48,18,0.0,30.2
35,70,17,0.8,4.2
28,80,21,16.8,0.3
25,76,17,7.2,0.1
22,86,15,10.1,0.0
25,78,15,3.8,0.0
29,73,17,0.1,0.5
29,75,16,0.0,1.7
29,74,19,0.1,0.9
31,71,17,0.3,0.6
30,73,17,0.9,0.4
30,77,15,1.0,0.2
33,73,12,1.8,0.3
30,77,21,1.8,0.3
29,88,13,0.0,0.5
25,86,21,4.6,0.0
22,76,26,8.3,0.1
24,82,15,0.4,0.0
30,65,14,0.0,0.8
31,52,14,0.0,5.9
32,49,11,0.0,7.7
29,57,14,0.0,9.7
28,84,18,0.0,6.3
31,55,11,0.0,8.3
31,50,19,0.6,2.8
32,54,11,0.5,0.7
29,65,19,0.6,0.7
26,81,21,5.8,0.1
31,54,11,0.0,1.7
31,66,11,0.0,4.1
32,47,14,0.7,0.9
26,80,16,1.8,0.1
25,78,14,1.4,0.1
32,71,12,0.7,0.2
30,73,13,4.0,0.2
29,80,14,2.0,0.1
30,64,14,0.0,1.0
32,60,14,0.2,0.9
35,54,11,0.1,3.1
35,44,17,0.2,6.0
28,51,17,1.3,0.8
27,59,18,0.1,1.9
30,41,15,0.0,10.0
31,42,21,0.0,16.7
27,58,17,0.0,12.9
30,52,15,2.0,0.9
27,79,16,0.7,0.3
28,90,15,0.0,0.6
29,87,15,0.4,0.1
31,69,17,4.7,0.4
33,62,10,8.7,0.4
32,67,14,4.5,0.4
31,72,14,0.2,0.3
32,55,14,0.0,4.9
33,46,14,1.1,1.2
33,59,16,0.8,0.8
35,68,16,0.0,5.3
34,70,16,0.0,6.7
36,62,16,0.0,9.5
36,55,15,0.0,12.0
37,37,13,0.0,18.4
37,36,13,0.6,7.2
34,42,15,1.7,2.2
28,58,18,2.2,0.5
33,48,16,0.0,6.4
34,56,17,0.1,5.2
34,58,18,0.0,9.9
34,45,18,0.0,15.0
35,42,15,0.3,6.3
38,43,13,0.5,5.2
35,47,18,6.0,3.0
36,43,15,1.9,3.1
34,51,16,3.8,1.3
34,56,15,2.9,0.8
36,44,13,0.0,9.6
39,45,13,0.6,4.7
34,45,17,0.0,14.1
31,83,17,0.0,7.3
32,81,17,0.0,7.7
33,68,15,0.0,9.1
34,58,16,0.0,13.0
36,50,16,0.0,17.3
36,29,18,0.0,30.0
32,48,18,0.0,25.4
31,71,17,0.0,16.3
33,63,17,1.1,2.5
39,64,9,1.2,0.7
35,58,10,0.2,1.0
29,87,18,0.0,3.2
33,57,16,0.0,9.0
34,59,16,0.0,10.9
36,56,16,0.0,13.2
37,55,15,0.0,14.5
38,52,14,0.0,0.8
40,34,14,0.0,13.5
39,33,17,0.0,19.5
38,35,15,0.0,20.9
34,42,17,0.1,12.6
30,54,14,3.1,0.8
34,63,13,2.9,0.6
37,56,11,0.0,5.9
39,43,12,0.0,12.7
39,39,15,0.2,10.7
40,31,15,0.0,21.6
39,21,17,0.4,18.8
35,34,16,0.2,10.5
37,40,13,0.0,15.7
35,46,13,0.3,5.5
40,41,10,0.1,14.8
42,24,9,0.0,24.0
37,37,14,0.0,26.3
35,66,15,0.1,7.7
36,81,15,0.0,9.0
36,71,15,0.0,12.2
37,53,14,0.0,18.1
36,43,16,0.0,24.5
35,38,15,0.0,26.9
34,40,18,0.0,31.1
33,37,16,0.0,30.3
36,54,14,0.0,26.1
35,56,14,0.4,6.1
35,53,17,0.5,5.9
34,49,15,0.0,16.0
30,59,19,0.0,19.4
29,86,16,0.0,0.0
28,67,19,0.0,0.8
28,75,16,0.0,2.5
30,66,15,0.2,0.7
30,58,12,4.1,0.4
34,71,14,6.5,0.4
31,62,15,0.0,3.2
30,88,14,0.0,2.7
30,80,15,0.0,3.7
29,74,15,1.1,0.3
30,73,14,0.0,1.2
31,72,14,0.0,3.9
29,49,19,0.0,10.3
28,81,15,0.0,5.7
32,51,13,0.0,9.8
33,26,13,0.0,19.3
34,44,12,0.0,17.5
36,33,13,0.1,15.4
29,41,8,0.1,5.6
34,58,13,0.2,3.8
35,34,17,0.0,21.6
33,64,13,0.0,13.7
35,56,14,0.0,15.2
26,49,6,2.0,0.4
28,70,15,0.0,3.0
30,65,14,0.0,6.5
28,87,15,4.4,0.0
27,87,29,0.5,0.2
24,54,18,0.1,0.7
24,64,15,0.2,0.5
